PSAP ID,PSAP Name,State,County,City,Type of Change,Comments
28,Clear Aid Fire Station,AK,Yukon-koyukuk Census Area,Clear,NC,
29,Cooper Landing Volunteer Ambulance Inc,AK,Kenai Peninsula Borough,Cooper Landing,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
30,Copper River Ems,AK,Valdez-cordova Census Area,Glennallen,NC,
31,Cordova Police-fire Department,AK,Valdez-cordova Census Area,Cordova,NC,
32,Craig Emergency Medical Services,AK,Prince Of Wales-outer Ketchikan,Craig,NC,
33,Craig Police Department,AK,Prince Of Wales-outer Ketchikan,Craig,NC,
36,Dillingham Department Of Public Safety,AK,Dillingham Census Area,Dillingham,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
35,Dillingham Volunteer Fire Department And Rescue Squad,AK,Dillingham Census Area,Dillingham,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
37,Dry Creek Emt Response Team,AK,Southeast Fairbanks Census Area,Delta Junction,NC,
38,Eielson Air Force Base,AK,Fairbanks-north Star Borough,Eielson Air Force Base,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
1,Elmendorf Fire And Emergency Services,AK,Anchorage Borough,Elmendorf Air Force Base,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
39,Ester Volunteer Fire Department,AK,Fairbanks-north Star Borough,Ester,NC,
40,Fairbanks Emergency Communications Center,AK,Fairbanks-north Star Borough,Fairbanks,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
2,Fairbanks International Airport Dispatch,AK,Fairbanks-north Star Borough,Fairbanks,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
8411,Fort Wainwright Fire And Emergency Services,AK,Fairbanks-north Star Borough,Fort Wainwright,A,PSAP was added since the original posting of the FCC Registry.
41,Fort Yukon Police Department,AK,Yukon-koyukuk Census Area,Fort Yukon,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
42,Ft Greely Health Center,AK,Southeast Fairbanks Census Area,Ft Greely,NC,
43,Ft Richardson Fire And Emergency,AK,Bethel Census Area,Ft Richardson,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
44,Ft Yukon Emergency Medical Services,AK,Yukon-koyukuk Census Area,Ft Yukon,NC,
45,Galena Health Center,AK,Yukon-koyukuk Census Area,Galena,NC,
46,Girdwood Ems-municipality Of Anchorage,AK,Anchorage Borough,Girdwood,NC,
47,Haines Borough Police Department,AK,Haines Borough,Haines,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
48,Homer Police Department,AK,Kenai Peninsula Borough,Homer,NC,
49,Homer Volunteer Fire Department,AK,Kenai Peninsula Borough,Homer,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
50,Hoonah Police Department,AK,Skagway-yakutat-angoon Census Area,Hoonah,NC,
51,Hoonah Volunteer Emergency Medical Services,AK,Skagway-yakutat-angoon Census Area,Hoonah,NC,
52,Houston Ambulance Service,AK,Matanuska-susitna Borough,Houston,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
53,Hydaburg Emergency Medical Services,AK,Prince Of Wales-outer Ketchikan,Hydaburg,NC,
54,Hyder Emergency Services,AK,Prince Of Wales-outer Ketchikan,Hyder,NC,
55,Juneau Police Department,AK,Juneau Borough,Juneau,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
56,Kaktovik Volunteer Fire Department-barrow Police Department,AK,North Slope Borough,Kaktovik,NC,
57,Kenai Fire Department,AK,Kenai Peninsula Borough,Kenai,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
58,Kenai Police Department,AK,Kenai Peninsula Borough,Kenai,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
59,Kenny Lake Ambulance Service,AK,Valdez-cordova Census Area,,NC,
60,Ketchikan Fire Department,AK,Ketchikan Gateway Borough,Ketchikan,NC,
61,Ketchikan Police Department,AK,Ketchikan Gateway Borough,Ketchikan,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
62,King Cove Police Department,AK,Aleutians East Borough,King Cove,NC,
63,King Cove Volunteer Fire And Rescue,AK,Aleutians East Borough,King Cove,NC,
64,Klawock Emergency Medical Services,AK,Prince Of Wales-outer Ketchikan,Klawock,NC,
65,Kodiak Police Department,AK,Kodiak Island Borough,"Kodiak, Zip: 99615",M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
66,Kotzebue Fire Department,AK,Northwest Arctic Borough,Kotzebue,NC,
67,Kotzebue Police Department,AK,Northwest Arctic Borough,Kotzebue,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
68,Kuskokwin Valley Rescue Squad,AK,Yukon-koyukuk Census Area,Mcgrath,NC,
69,Lake Creek-skwenta First Responders,AK,Matanuska-susitna Borough,Wasilla,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
8275,Mataanuska-susitna Borough E-911,AK,Matanuska-susitna Borough,Palmer,A,PSAP was added since the original posting of the FCC Registry.
70,Metlakatla Fire Department Ambulance Service,AK,Prince Of Wales-outer Ketchikan,Metlakatla,NC,
71,Metlakatla Indian Community Police Department,AK,Prince Of Wales-outer Ketchikan,Metlakatla,NC,
72,Moose Pass First Responders,AK,Kenai Peninsula Borough,Moose Pass,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
73,Nenana Department Of Public Safety,AK,Yukon-koyukuk Census Area,Nenana,NC,
74,Nikiski Fire Department,AK,Kenai Peninsula Borough,Nikiski,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
75,Ninilchik Community Ambulance Association,AK,Kenai Peninsula Borough,Ninilchik,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
76,Nome Police Department,AK,Nome Census Area,Nome,NC,
77,Nondalton First Responders,AK,Lake & Peninsula Borough,Nondalton,NC,
78,North Pole Police Department,AK,Fairbanks-north Star Borough,North Pole,NC,
79,North Slope Borough Police Department,AK,North Slope Borough,Barrow,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
80,North Star Volunteer Fire Department,AK,Fairbanks-north Star Borough,North Pole,NC,
81,Nuiqsut Volunteer Fire Department,AK,North Slope Borough,Nuiqsut,NC,
82,Palmer Police,AK,Matanuska-susitna Borough,Palmer,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
83,Paxson First Responder,AK,Valdez-cordova Census Area,Fairbanks,NC,
84,Petersburg Police Department,AK,Wrangell-petersburg Census Area,Petersburg,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
85,Petersburg Volunteer Fire Department,AK,Wrangell-petersburg Census Area,Petersburg,NC,
86,Point Hope Volunteer Fire Department-barrow Police Department,AK,North Slope Borough,Barrow,NC,
87,Point Lay Volunteer Fire Department-barrow Police Department,AK,North Slope Borough,Barrow,NC,
88,Pond Reef Volunteer Fire Departmentalaska State Police Departmen,AK,Ketchikan Gateway Borough,Ketchikan,NC,
89,Port Lions Department Of Public Safety,AK,Kodiak Island Borough,Port Lions,NC,
90,Prince Of Wales Island Area Emergency Medical Services,AK,Prince Of Wales-outer Ketchikan,Craig,NC,
91,Salcha Rescue,AK,Fairbanks-north Star Borough,Salcha,NC,
92,Sand Point Emergency Medical Services,AK,Aleutians East Borough,Sand Point,NC,
93,Saxman Emergency Medical Services,AK,Ketchikan Gateway Borough,Ketchikan,NC,
94,Seldovia Police Department,AK,Kenai Peninsula Borough,Seldovia,NC,
95,Seward Ambulance Service,AK,Kenai Peninsula Borough,Seward,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
96,Seward Fire Department,AK,Kenai Peninsula Borough,Seward,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
97,Seward Police Department,AK,Kenai Peninsula Borough,Seward,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
98,Sitka Fire Department,AK,Sitka Borough,Sitka,NC,
99,Sitka Police Department,AK,Sitka Borough,Sitka,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
100,Skagway Police Department,AK,Skagway-yakutat-angoon Census Area,Skagway,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
101,Skagway Volunteer Fire Department Ems,AK,Skagway-yakutat-angoon Census Area,Skagway,NC,
102,Soldotna Police Department,AK,Kenai Peninsula Borough,Soldotna,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
103,St Paul Public Safety,AK,Aleutians West Census Area,St Paul Island,NC,
104,State Troopers-kodiak,AK,Skagway-yakutat-angoon Census Area,Kodiak,NC,
105,Steese Area Volunteer Fire Department,AK,Fairbanks-north Star Borough,Fairbanks,NC,
106,Tanana Emergency Medical Services,AK,Yukon-koyukuk Census Area,Tanana,NC,
9,Ted Stevens Anchorage International Airport Dispatch,AK,Anchorage Borough,Anchorage,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
107,Tiekel First Responders,AK,Valdez-cordova Census Area,Glennallen,NC,
108,Tok Area Emergency Medical Services,AK,Southeast Fairbanks Census Area,Tok,NC,
109,Trans-care Medical Services,AK,Anchorage Borough,Anchorage,NC,
110,Tri-valley Volunteer Fire Department,AK,Yukon-koyukuk Census Area,Healy,NC,
111,Two Rivers Rescue,AK,Fairbanks-north Star Borough,Two Rivers,NC,
112,Uaf Police Department,AK,Fairbanks-north Star Borough,Fairbanks,NC,
113,Unalaska Department Of Public Safety,AK,Aleutians West Census Area,"Unalaska, Zip: 99685",M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
114,University Of Alaska Fire Department-fairbanks,AK,Fairbanks-north Star Borough,Fairbanks,NC,
115,University Of Alaska Police Department-anchorage,AK,Anchorage Borough,Anchorage,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
116,University Of Alaska Police Department-fairbanks,AK,Fairbanks-north Star Borough,"Fairbanks, Zip: 99775",M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
117,Valdez Police And Fire Department,AK,Valdez-cordova Census Area,"Valdez, Zip: 99686",M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
118,Wainwright Volunteer Fire Department,AK,North Slope Borough,Wainwright,NC,
119,Whittier Police Department,AK,Valdez-cordova Census Area,Whittier,NC,
120,Wrangell Police Department,AK,Wrangell-petersburg Census Area,Wrangell,NC,
121,Wrangell Volunteer Fire Department,AK,Wrangell-petersburg Census Area,Wrangell,NC,
122,Yukon Kuskokwin Health Corp Ambulance Service,AK,Yukon-koyukuk Census Area,Bethel,NC,
123,Abbeville Police Department,AL,Henry,Abbeville,NC,
124,Adamsville Police Department,AL,Jefferson,Adamsville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
125,Alabaster Police Department,AL,Shelby,Alabaster,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #265
126,Albertville Police Department,AL,Marshall,Albertville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
127,Alexander City Police Department,AL,Tallapoosa,Alexander City,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
128,Andalusia Police Department,AL,Covington,Andalusia,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #162
129,Arab Police Department,AL,Marshall,Arab,NC,
225,Athens - Limestone County 911 Center,AL,Limestone,Athens,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
130,Athens Police Department,AL,Limestone,Athens,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #225
131,Atmore Police Department,AL,Escambia,Atmore,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
133,Autauga E9-1-1,AL,Autauga,Prattville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
134,Baldwin County E-9-1-1,AL,Baldwin,Robertsdale,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
135,Barbour County Sheriffs Office,AL,Barbour,Clayton,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
136,Bessemer Emergency Communications Center E-9-1-1,AL,Jefferson,Bessemer,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
137,Bibb County Communications Center,AL,Bibb,Centreville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
138,Birmingham Police Department,AL,Jefferson,Birmingham,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
139,Blount County 9-1-1,AL,Blount,Oneonta,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
140,Boaz Police,AL,Marshall,Boaz,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
141,Brewton Police Department,AL,Escambia,Brewton,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
142,Butler County 911,AL,Butler,Greenville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
143,Calhoun County 9-1-1,AL,Calhoun,Anniston,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
144,Camden Police Department,AL,Wilcox,Camden,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
145,Chambers County 9-1-1,AL,Chambers,Lanett,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
146,Chambers County Sheriffs Office,AL,Chambers,Lafayette,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
147,Cherokee County Central Dispatch,AL,Cherokee,Centre,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
148,Childersburg Police Department,AL,Talladega,Childersburg,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
149,Chilton County E9-1-1 Center,AL,Chilton,Clanton,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
150,Chilton County Emergency Management Agency,AL,Chilton,Clanton,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
151,Choctaw County 9-1-1 Center,AL,Choctaw,Butler,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
152,Choctaw County Sheriffs Office,AL,Choctaw,Butler,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
132,City Of Auburn 9-1-1,AL,Lee,Auburn,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
153,City Of Homewood Fire Department,AL,Jefferson,Homewood,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
154,Clarke County 9-1-1 Center,AL,Clarke,Grove Hill,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
155,Clay County E9-1-1,AL,Clay,Lineville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
156,Clay County Sheriffs Office,AL,Clay,Ashland,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
157,Cleburne County 9-1-1 Center,AL,Cleburne,Heflin,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
158,Coffee County Sheriffs Office,AL,Coffee,New Brockton,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
159,Colbert County E9-1-1 Center,AL,Colbert,Tuscumbia,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
8166,Conecuh County 9-1-1,AL,Conecuh,Evergreen,A,PSAP was added since the original posting of the FCC Registry.
160,Conecuh County Sheriff's Office Dispatch,AL,Conecuh,Evergreen,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
161,Coosa County Sheriffs Office,AL,Coosa,Rockford,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
162,Covington County 9-1-1,AL,Covington,Andalusia,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
163,Covington County Sheriffs Department,AL,Covington,Andalusia,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
164,Crenshaw County Emergency Communications,AL,Crenshaw,Luverne,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
166,Cullman County Sheriffs Office,AL,Cullman,Cullman,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
167,Cullman Ems,AL,Cullman,Cullman,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
165,Cullman Police Department,AL,Cullman,Cullman,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
168,Daleville Police Department,AL,Dale,Daleville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
264,Dallas County E9-1-1,AL,Dallas,Selma,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
169,Dallas County Sheriffs Office,AL,Dallas,Selma,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
170,Dekalb County E9-1-1,AL,De Kalb,Ft Payne,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
172,Dothan Police Department,AL,Houston,Dothan,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
173,East Alabama Fire District,AL,Chambers,Valley,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
174,East Brewton Police Department,AL,Escambia,East Brewton,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
7996,Eclectic Police Department,AL,Elmore,Eclectic,A,PSAP was added since the original posting of the FCC Registry.
175,Elba Police Department,AL,Coffee,Elba,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
176,Elmore County E9-1-1,AL,Elmore,Wetumpka,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
7997,Elmore County E911,AL,Elmore,,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
177,Enterprise Police Department,AL,Coffee,Enterprise,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
178,Escambia County Sheriffs Department,AL,Escambia,Brewton,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
179,Etowah County Communications District E9-1-1,AL,Etowah,Rainbow City,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
180,Eufaula Police Department,AL,Barbour,Eufaula,NC,
181,Eutaw Police Department,AL,Greene,Eutaw,NC,
182,Evergreen Police Department,AL,Conecuh,Evergreen,NC,
183,Fairfield Police Department,AL,Jefferson,Fairfield,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
184,Fayette County E9-1-1,AL,Fayette,Fayette,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
185,Flomaton Police Department,AL,Escambia,Flomaton,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
186,Florala Police Department,AL,Covington,Florala,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
187,Florence Police Department,AL,Lauderdale,Florence,NC,
188,Fort Rucker Police Department - Dod,AL,Dale,Fort Rucker,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
189,Franklin County Sheriffs Office,AL,Franklin,Russellville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
190,Ft Payne Police Department,AL,De Kalb,Ft Payne,NC,
191,Fyffe Police Department,AL,De Kalb,Fyffe,NC,
192,Gadsden Police Department,AL,Etowah,Gadsden,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
193,Gardendale Police Department,AL,Jefferson,Gardendale,NC,
194,Geneva County E 9-1-1,AL,Geneva,Geneva,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
195,Georgiana Police Department,AL,Butler,Georgiana,NC,
196,Goodwater Police Department,AL,Coosa,Goodwater,NC,
197,Graysville Police Department,AL,Jefferson,Graysville,NC,
198,Greene County E9-1-1,AL,Greene,Eutaw,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
199,Greenville Police Department,AL,Butler,Greenville,NC,
200,Guntersville Police,AL,Marshall,Guntersville,NC,
201,Hale County E9-1-1,AL,Hale,Greensboro,NC,
202,Haleyville Police Department,AL,Winston,Haleyville,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
203,Hanceville Police Department,AL,Cullman,Hanceville,NC,
204,Hartford Police Department,AL,Geneva,Hartford,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
205,Hartselle Police Department,AL,Morgan,Hartselle,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #171
206,Headland Police Department,AL,Henry,Headland,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
207,Henry County E9-1-1,AL,Henry,,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
208,Homewood City Police Department,AL,Jefferson,Homewood,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
209,Hoover Police Department,AL,Jefferson,Hoover,NC,
210,Houston County Sheriffs Office Communications Center,AL,Houston,Dothan,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
211,Hueytown Police Department,AL,Jefferson,Hueytown,NC,
212,Huntsville-madison County E9-1-1 Center,AL,Madison,Huntsville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
213,Irondale Police Department,AL,Jefferson,Irondale,NC,
214,Jackson County 9-1-1,AL,Jackson,Scottsboro,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
215,Jefferson County Sheriffs Department,AL,Jefferson,Birmingham,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
216,Lafayette 9-1-1,AL,Chambers,Lynette,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
217,Lamar County Sheriffs Department,AL,Lamar,Vernon,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
218,Lanett Police Department,AL,Chambers,Lanett,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
219,Lauderdale County E9-1-1,AL,Lauderdale,Florence,NC,
220,Lauderdale County Sheriff Office,AL,Lauderdale,Florence,NC,
221,Lawrence County E9-1-1,AL,Lawrence,Moulton,NC,
222,Lawrence County Sheriffs Office,AL,Lawrence,Moulton,NC,
223,Lee County Sheriffs Office,AL,Lee,Opelika,NC,
224,Leeds Police Department,AL,Jefferson,Leeds,NC,
226,Lincoln Police Department,AL,Talladega,Lincoln,NC,
227,Livingston Police Department,AL,Sumter,Livingston,NC,
228,Lowndes County E9-1-1,AL,Lowndes,Hayneville,NC,
229,Lowndes County Sheriffs Office,AL,Lowndes,Hayneville,NC,
230,Macon County Sheriffs Office,AL,Macon,Tuskegee,NC,
231,Marengo County E-9-1-1,AL,Marengo,Demopolis,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
232,Marion County E9-1-1,AL,Marion,Hamilton,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
233,Marion County Police Department,AL,Perry,Marion,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #8234
234,Marshall County 9-1-1,AL,Marshall,Arab,NC,
235,Marshall County Sheriffs Office,AL,Marshall,Guntersville,NC,
236,Midfield Police Department,AL,Jefferson,Midfield,NC,
237,Millbrook Police Department,AL,Elmore,Millbrook,NC,
238,Mobile County Communication District,AL,Mobile,Mobile,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
239,Mobile County Emergency Management,AL,Mobile,Mobile,NC,
240,Monroe County E9-1-1,AL,Monroe,Monroeville,NC,
241,Monroeville Police Department,AL,Monroe,Monroeville,NC,
242,Montgomery City Fire Department,AL,Montgomery,Montgomery,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
243,Montgomery County Sheriffs Office,AL,Montgomery,Montgomery,NC,
244,Montgomery Police Department,AL,Montgomery,Montgomery,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
171,Morgan County Emergency Management Communications,AL,Morgan,Decatur,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
245,Morgan County Sheriffs Office,AL,Morgan,Somerville,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #171
246,Moundville Police Department,AL,Hale,Moundville,NC,
247,Mountain Brook Police Department,AL,Jefferson,Mountain Brook,NC,
248,Northport Police Department,AL,Tuscaloosa,Northport,NC,
249,Notasulga Police Department,AL,Macon,Notasulga,NC,
250,Oneonta Police Department,AL,Blount,Oneonta,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
251,Opelika Police Department,AL,Lee,Opelika,NC,
